Story#,Title,As a/an,I want,So that,Acceptance criteria
1,Scheduled Decision Prompt,Jason,to be prompted at my chosen gym time,I consistently confront the daily decision instead of avoiding it,Given a selected daily time; When that time occurs; Then a prompt is delivered at that time; And delivery consistency is measurable
2,Reduce Avoidance Delay,Jason,to engage with the decision promptly when prompted,I avoid prolonged hesitation,Given a prompt occurs; When Jason interacts; Then interaction occurs within a measurable time window; And delay trends can be tracked
3,Reinforce Commitment Frequency,Jason,to be reminded of my intended weekly gym frequency,I stay aligned with my 3–4 day goal,Given a defined weekly goal; When prompted; Then the weekly target is referenced; And it reflects the defined goal
4,Clarify Today’s Choice,Jason,the decision framed as a simple yes-or-no commitment,the mental debate feels less overwhelming,Given scheduled gym time; When prompted; Then the choice is clearly attend or skip; And no unrelated decisions are introduced
5,Normalize Low-Energy Days,Jason,reassurance that low energy is normal,low energy does not automatically justify skipping,Given low energy is reported; When engaging with the prompt; Then low energy is acknowledged; And decision autonomy remains
6,Weigh Long-Term Goals,Jason,to reflect on my long-term fitness goal at the decision moment,short-term discomfort feels temporary,Given the decision moment; When prompted; Then long-term goal is referenced; And it matches stored goal
7,Reduce Guilt-Based Pressure,Jason,the decision framed without guilt or shame,I feel ownership rather than pressure,Given the prompt; When deciding; Then no guilt-based framing is present; And tone supports autonomy
8,Reinforce Self-Trust,Jason,to feel capable of choosing consistently,I build confidence in my discipline,Given prior attendance history; When prompted; Then consistency is acknowledged; And self-trust is reinforced
9,Reduce Overthinking,Jason,the decision moment to be brief,I do not spiral into analysis,Given decision interaction; When responding; Then minimal steps are required; And decision time is measurable
10,Affirm Attendance Immediately,Jason,immediate affirmation when I choose to go,momentum builds quickly,Given attendance is chosen; When confirmed; Then immediate positive reinforcement occurs; And it reflects the action
11,Reinforce Effort as Progress,Jason,choosing to go to feel like progress itself,I value the commitment,Given attendance is chosen; When confirmed; Then the choice is acknowledged as progress; And forward movement is reinforced
12,Minimize Emotional Drop if Skipping,Jason,skipping acknowledged without harsh judgment,one miss does not derail me,Given skip is chosen; When confirmed; Then no shaming language appears; And next opportunity remains intact
13,Preserve Next Opportunity,Jason,the next scheduled gym opportunity to remain clear,skipping once does not feel final,Given a skipped day; When interaction concludes; Then next scheduled time remains unchanged; And no penalty is introduced
14,Track Weekly Consistency,Jason,awareness of how many times I’ve attended this week,I know if I am on track,Given attendance data exists; When reviewing week; Then weekly total is visible; And it reflects actual attendance
15,Highlight Streak Recovery,Jason,to see that I returned after a missed day,I feel resilient rather than inconsistent,Given a skipped day followed by attendance; When reviewing; Then recovery is acknowledged; And prior progress is preserved
16,Measure Decision Hesitation,Jason,my hesitation time to decrease over weeks,I feel less internal friction,Given decision time is tracked; When comparing weeks; Then average hesitation can be compared; And reductions identified
17,Build Self-Sufficiency Confidence,Jason,to feel increasingly confident I can maintain this habit independently,I rely less on external pressure,Given sustained consistency; When reflecting; Then confidence can be reported; And trends improve over time
18,Validate Habit Stability Over Time,Jason,to see that my weekly attendance is becoming stable,I know this is a real habit,Given multi-week data; When reviewing attendance; Then weeks meeting goal are visible; And trends are observable
